,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Solda,Solda,GPE,0.10000000,0.40000000,en,1.00000000,4058547-5,3166437,P,46.52715000,10.58905000,EUROPE,Italy,WCE
Motown,Motown,GPE,0.00000000,0.00000000,en,1.00000000,4352903-3,186180,P,3.52661000,39.05610000,AFRICA,Kenya,NEAF
St. Elias Mountains,St. Elias Mountains,LOC,0.12000000,0.58000000,en,1.00000000,,5556882,T,60.19969000,-139.88922000,NORTH-AMERICA,United States,NWN
Weather Juneau,Weather Juneau,GPE,-0.00166667,0.44000000,en,1.00000000,,0,,,,,,
GENEVA,GENEVA,GPE,-0.07857143,0.16428571,en,1.00000000,4020137-5,2660646,P,46.20222000,6.14569000,EUROPE,Switzerland,WCE
turkey,turkey,GPE,0.60000000,1.00000000,en,1.00000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
the Finnmark Plateau,the Finnmark Plateau,LOC,0.40000000,0.40000000,en,1.00000000,,0,,,,,,
Indigenous Sámi,Indigenous Sámi,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
New Zealand 's,New Zealand 's,GPE,0.06818182,0.28977273,en,1.00000000,,2161314,P,-29.05459000,167.96628000,PACIFIC,Norfolk Island,SPO
New Zealand's,New Zealand's,GPE,0.13636364,0.45454545,en,1.00000000,,2190224,P,-39.63810000,176.84918000,OCEANIA,New Zealand,NZ
NASHVILLE,NASHVILLE,GPE,0.25000000,1.00000000,en,1.00000000,4102368-7,4644585,P,36.16589000,-86.78444000,NORTH-AMERICA,United States,ENA
Northern,Northern,LOC,0.00000000,0.00000000,en,1.00000000,,7729890,L,54.77535000,-105.64453000,NORTH-AMERICA,Canada,NWN
Gabelhorn,Gabelhorn,LOC,0.00000000,0.05000000,en,1.00000000,,6697734,T,46.03855000,7.66805000,EUROPE,Switzerland,WCE
Kyiv,Kyiv,GPE,0.00000000,0.00000000,en,1.00000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
Green Bay,Green Bay,LOC,0.27500000,0.55000000,en,1.00000000,4692091-2,5254962,P,44.51916000,-88.01983000,NORTH-AMERICA,United States,ENA
Ont.,Ont.,GPE,0.19285714,0.29523810,en,1.00000000,4060459-7,6167865,P,43.70643000,-79.39864000,NORTH-AMERICA,Canada,ENA
Northern Norway,Northern Norway,LOC,0.36818182,0.67727273,en,1.00000000,4042640-3,3144096,A,62.00000000,10.00000000,EUROPE,Norway,NEU
Brazil,Brazil,GPE,0.00000000,0.00000000,en,1.00000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Belem,Belem,GPE,0.00000000,0.00000000,en,1.00000000,4208294-8,3405870,P,-1.45583000,-48.50444000,SOUTH-AMERICA,Brazil,NES
East Coast,East Coast,LOC,-0.60000000,1.00000000,en,1.00000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
Navarre,Navarre,GPE,0.40000000,0.75000000,en,1.00000000,4115835-0,3114472,P,42.81687000,-1.64323000,EUROPE-AFRICA,Spain,MED
the Deep South,the Deep South,LOC,-0.04166667,0.32500000,en,1.00000000,,12217079,L,33.37000000,-85.94000000,NORTH-AMERICA,United States,ENA
Girdwood,Girdwood,GPE,-0.30000000,0.60000000,en,1.00000000,4605278-1,5862837,P,60.94250000,-149.16639000,NORTH-AMERICA,United States,NWN
Allt,Allt,LOC,0.00000000,0.00000000,en,1.00000000,,7298349,A,51.58866000,-3.01726000,EUROPE,United Kingdom,NEU
the Allt Backpack,the Allt Backpack,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Nepals,Nepals,GPE,-0.15000000,0.20000000,en,1.00000000,,0,,,,,,
Sápmi,Sápmi,GPE,0.36818182,0.67727273,en,1.00000000,,0,,,,,,
Southern Europe,Southern Europe,LOC,0.00000000,0.06250000,en,1.00000000,,9408658,L,41.34382000,-3.33984000,EUROPE-AFRICA,Spain,MED
Mount Yalung,Mount Yalung,LOC,-0.50000000,0.50000000,en,1.00000000,,0,,,,,,
Accursed Mountains,Accursed Mountains,LOC,0.10000000,0.40000000,en,1.00000000,,0,,,,,,
Chetwynd,Chetwynd,GPE,-0.10000000,0.10000000,en,1.00000000,,6631102,T,-76.33333000,162.03333000,POLAR,Antarctica,EAN
Salahuddin,Salahuddin,GPE,0.25000000,0.25000000,en,1.00000000,,12388169,A,0.79250000,127.37694000,ASIA,Indonesia,SEA
Colorados Park,Colorados Park,LOC,-0.35000000,0.65000000,en,1.00000000,,0,,,,,,
Park,Park,GPE,-0.35000000,0.65000000,en,1.00000000,4398110-0,4178560,P,28.60000000,-81.33924000,NORTH-AMERICA,United States,ENA
N.Y.,N.Y.,GPE,0.00000000,0.00000000,en,1.00000000,4044569-0,2088628,A,-6.00000000,147.00000000,ASIA,Papua New Guinea,SEA
Americas,Americas,LOC,0.30000000,0.10000000,en,1.00000000,,3496393,L,21.00000000,-86.00000000,CENTRAL-AMERICA,,SCA
Montenegro,Montenegro,GPE,0.00000000,0.00000000,en,1.00000000,4040163-7,3194884,A,42.75000000,19.25000000,EUROPE-AFRICA,Montenegro,MED
Kosovo,Kosovo,GPE,0.00000000,0.00000000,en,1.00000000,4032571-4,831053,A,42.58333000,20.91667000,EUROPE-AFRICA,Kosovo,MED
the Accursed Mountains,the Accursed Mountains,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Albania,Albania,GPE,0.10000000,0.40000000,en,1.00000000,4001028-4,783754,A,41.00000000,20.00000000,EUROPE-AFRICA,Albania,MED
New Jersey Devils,New Jersey Devils,GPE,0.06818182,0.27727273,en,1.00000000,,5097243,H,40.33014000,-74.62311000,NORTH-AMERICA,United States,ENA
beginni,beginni,GPE,0.16742424,0.39280303,en,1.00000000,,0,,,,,,
Midwest,Midwest,LOC,-0.05454545,0.68484848,en,1.00000000,4074909-5,12212748,L,43.61327000,-88.28917000,NORTH-AMERICA,United States,ENA
New York City Facing Snowy Commute,New York City Facing Snowy Commute,GPE,0.11818182,0.37727273,en,1.00000000,,0,,,,,,
the Atlantic Ocean,the Atlantic Ocean,LOC,0.17777778,0.56666667,en,1.00000000,,4504476,P,39.95373000,-74.19792000,NORTH-AMERICA,United States,ENA
the South Atlantic,the South Atlantic,LOC,0.40000000,0.40000000,en,1.00000000,,12110877,L,33.91855000,-81.28668000,NORTH-AMERICA,United States,ENA
Minn.,Minn.,GPE,0.30000000,0.57500000,en,1.00000000,,4640874,S,35.39853000,-84.56008000,NORTH-AMERICA,United States,ENA
PAUL,PAUL,GPE,0.30000000,0.57500000,en,1.00000000,,3575170,P,17.40605000,-62.83562000,CENTRAL-AMERICA,St Kitts and Nevis,CAR
Minnesota Wild,Minnesota Wild,LOC,0.05000000,0.45000000,en,1.00000000,,5052816,A,47.28234000,-96.25817000,NORTH-AMERICA,United States,CNA
Turkey,Turkey,GPE,0.04814815,0.39629630,en,1.00000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Rolwaling Valley,Rolwaling Valley,LOC,-0.20000000,0.05000000,en,1.00000000,,0,,,,,,
Dolakha district,Dolakha district,LOC,-0.40000000,0.50000000,en,1.00000000,,0,,,,,,
the Fraser Valley,the Fraser Valley,LOC,0.00000000,0.56666667,en,1.00000000,,6164463,T,49.51639000,-121.61926000,NORTH-AMERICA,Canada,WNA
Kanchenjunga river,Kanchenjunga river,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Louvre,Louvre,LOC,0.00000000,0.00000000,en,1.00000000,,2997319,S,48.86102000,2.33587000,EUROPE,France,WCE
Budapest Summit,Budapest Summit,GPE,0.25000000,0.37500000,en,1.00000000,,0,,,,,,
PANAMA CITY,PANAMA CITY,GPE,0.00000000,0.08333333,en,1.00000000,4262523-3,3703443,P,8.99360000,-79.51973000,CENTRAL-AMERICA,Panama,SCA
Tallaght Stadium,Tallaght Stadium,GPE,0.25000000,0.75000000,en,1.00000000,,7646084,S,53.28353000,-6.37370000,EUROPE,Ireland,NEU
Johannesburg,Johannesburg,GPE,0.37500000,0.41666667,en,1.00000000,4028698-8,993800,P,-26.20227000,28.04363000,AFRICA,South Africa,ESAF
Ellis Park,Ellis Park,GPE,0.37500000,0.41666667,en,1.00000000,,7280911,S,-26.19748000,28.06073000,AFRICA,South Africa,ESAF
AIRES,AIRES,GPE,0.00000000,0.00000000,en,1.00000000,4008756-6,3435910,P,-34.61315000,-58.37723000,SOUTH-AMERICA,Argentina,SES
the Kanchenjunga river,the Kanchenjunga river,LOC,0.06666667,0.40000000,en,1.00000000,,0,,,,,,
Chamoli district,Chamoli district,LOC,0.06666667,0.40000000,en,1.00000000,,1261991,T,30.37584000,79.97077000,ASIA,India,TIB
New Yorks,New Yorks,GPE,0.12424242,0.43636364,en,1.00000000,,4983664,L,43.18370000,-70.61116000,NORTH-AMERICA,United States,ENA
Quartzsite,Quartzsite,GPE,0.12500000,0.45000000,en,1.00000000,,5310183,P,33.66391000,-114.22995000,CENTRAL-AMERICA,United States,NCA
NEW YORK,NEW YORK,GPE,0.12424242,0.43636364,en,1.00000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Great Lakes,Great Lakes,LOC,0.80000000,0.75000000,en,1.00000000,4022167-2,12212304,L,44.57143000,-84.69022000,NORTH-AMERICA,United States,ENA
North America's,North America's,LOC,0.80000000,0.75000000,en,1.00000000,4518159-7,3576022,P,17.12096000,-61.84329000,CENTRAL-AMERICA,Antigua and Barbuda,CAR
Mount Everest,Mount Everest,LOC,0.00000000,0.00000000,en,1.00000000,4040417-1,1283416,T,27.98791000,86.92529000,ASIA,China,TIB
Mount Eve…,Mount Eve…,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
North Face of Mount Everest,North Face of Mount Everest,LOC,-0.24166667,0.63333333,en,1.00000000,,0,,,,,,
the North Pole,the North Pole,LOC,0.00000000,0.00000000,en,1.00000000,7605041-5,5870294,P,64.75111000,-147.34944000,NORTH-AMERICA,United States,NWN
New Zealand,New Zealand,GPE,0.13636364,0.45454545,en,1.00000000,4041915-0,2186224,A,-42.00000000,174.00000000,OCEANIA,New Zealand,NZ
Hebei,Hebei,GPE,-0.20000000,0.85000000,en,1.00000000,4025840-3,1808773,A,39.00000000,115.66667000,ASIA,China,EAS
Milei,Milei,GPE,-0.06250000,0.31250000,en,1.00000000,,186672,T,-0.47923000,38.17793000,AFRICA,Kenya,SEAF
South Korea,South Korea,GPE,0.41212121,0.25151515,en,1.00000000,4078029-6,1835841,A,36.50000000,127.75000000,ASIA,South Korea,EAS
Gaurishankar Rural,Gaurishankar Rural,GPE,-0.40000000,0.50000000,en,1.00000000,,0,,,,,,
Stablecoin,Stablecoin,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Yalung Ri,Yalung Ri,GPE,-0.06666667,0.00000000,en,1.00000000,,0,,,,,,
Dolakha,Dolakha,LOC,-0.16250000,0.38750000,en,1.00000000,,12095469,A,27.82413000,86.22166000,ASIA,Nepal,TIB
Ita,Ita,LOC,0.00000000,0.00000000,en,1.00000000,,2109701,P,-8.76778000,160.69778000,PACIFIC,Solomon Islands,EPO
Ortler,Ortler,LOC,0.00000000,0.00000000,en,1.00000000,4795224-6,3171890,T,46.50929000,10.54458000,EUROPE,Italy,WCE
climbe,climbe,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Québec City,Québec City,GPE,0.14444444,0.47777778,en,1.00000000,4103473-9,6325494,P,46.81228000,-71.21454000,NORTH-AMERICA,Canada,ENA
Vineland,Vineland,GPE,0.10000000,0.60000000,en,1.00000000,4670813-3,4504621,P,39.48623000,-75.02573000,NORTH-AMERICA,United States,ENA
Pacific(APAC,Pacific(APAC,LOC,0.00000000,0.00000000,en,1.00000000,,6664494,P,-10.15859000,-77.47451000,SOUTH-AMERICA,Peru,NWS
JPYC,JPYC,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Marble,Marble,GPE,0.00000000,0.25000000,en,1.00000000,,6637512,T,-77.43333000,163.83333000,POLAR,Antarctica,EAN
Niseko United,Niseko United,GPE,0.35714286,0.84285714,en,1.00000000,,0,,,,,,
the Elk Mountains,the Elk Mountains,LOC,0.00000000,0.25000000,en,1.00000000,,5443638,T,38.74861000,-107.24922000,NORTH-AMERICA,United States,WNA
Treasury Mountain,Treasury Mountain,LOC,0.00000000,0.25000000,en,1.00000000,,5441949,T,39.01443000,-107.09949000,NORTH-AMERICA,United States,WNA
Snowmass,Snowmass,GPE,0.15000000,0.45000000,en,1.00000000,4438463-4,5439284,P,39.21304000,-106.93782000,NORTH-AMERICA,United States,WNA
Atlantic,Atlantic,LOC,0.11212121,0.21818182,en,1.00000000,,12110846,L,40.58629000,-76.28807000,NORTH-AMERICA,United States,ENA
Prague,Prague,GPE,0.00000000,0.00000000,en,1.00000000,4076310-9,3067696,P,50.08804000,14.42076000,EUROPE,Czechia,WCE
Sparta,Sparta,GPE,0.00000000,0.00000000,en,1.00000000,4056054-5,4409615,P,37.00116000,-93.08157000,NORTH-AMERICA,United States,CNA
Winter Backpacking Packs,Winter Backpacking Packs,GPE,0.10937500,0.32548077,en,1.00000000,,0,,,,,,
Mt,Mt,GPE,0.35714286,0.84285714,en,1.00000000,4015701-5,6255148,L,48.69096000,9.14062000,EUROPE,Germany,WCE
Arai Mountain Resort,Arai Mountain Resort,LOC,0.35714286,0.84285714,en,1.00000000,,0,,,,,,
West Pine,West Pine,LOC,-0.10000000,0.10000000,en,1.00000000,,5514990,A,39.44216000,-114.90159000,NORTH-AMERICA,United States,WNA
the Nooksack River,the Nooksack River,LOC,0.00000000,0.56666667,en,1.00000000,,5804868,H,48.77483000,-122.59906000,NORTH-AMERICA,United States,WNA
Pongau,Pongau,GPE,0.10000000,0.40000000,en,1.00000000,4046758-2,2766642,A,47.30000000,13.30000000,EUROPE,Austria,WCE
Oswego County,Oswego County,GPE,0.00000000,0.00000000,en,1.00000000,,5735724,P,45.42067000,-122.67065000,NORTH-AMERICA,United States,WNA
Svalbard,Svalbard,LOC,0.00000000,0.00000000,en,1.00000000,4118926-7,2729907,P,78.22334000,15.64689000,ARCTIC,Svalbard and Jan Mayen,ARO
Bina,Bina,GPE,-0.20000000,0.00000000,en,1.00000000,,586968,P,40.45076000,50.08686000,ASIA,Azerbaijan,WCA
Nev,Nev,GPE,0.15357143,0.33214286,en,1.00000000,,7729898,L,-27.83908000,143.26172000,OCEANIA,Australia,CAU
New York Islanders,New York Islanders,GPE,0.13636364,0.45454545,en,1.00000000,,0,,,,,,
Madrid,Madrid,GPE,0.00000000,0.00000000,en,1.00000000,4036862-2,3117735,P,40.41650000,-3.70256000,EUROPE-AFRICA,Spain,MED
Hamburg,Hamburg,GPE,0.00000000,0.00000000,en,1.00000000,4239189-1,2911298,P,53.55073000,9.99302000,EUROPE,Germany,NEU
Vegas,Vegas,GPE,0.05214286,0.32214286,en,1.00000000,4034659-6,5506956,P,36.17497000,-115.13722000,NORTH-AMERICA,United States,WNA
The Czech Republic,The Czech Republic,GPE,0.00000000,0.00000000,en,1.00000000,,6986495,T,28.44912000,56.84917000,ASIA,Iran,WCA
Coloradonlooks,Coloradonlooks,GPE,0.33333333,0.60000000,en,1.00000000,,0,,,,,,
B.C.s South Coast,B.C.s South Coast,LOC,-0.30000000,0.45000000,en,1.00000000,,7235132,P,34.59556000,-87.07917000,NORTH-AMERICA,United States,ENA
The City and Borough of Juneau,The City and Borough of Juneau,GPE,0.00000000,0.25000000,en,1.00000000,4198801-2,5554072,P,58.30194000,-134.41972000,NORTH-AMERICA,United States,NWN
North Shore,North Shore,LOC,-0.30000000,0.45000000,en,1.00000000,16338458-7,5108169,P,40.72510000,-73.24539000,NORTH-AMERICA,United States,ENA
Vancouver,Vancouver,GPE,-0.30000000,0.45000000,en,1.00000000,4119364-7,6173331,P,49.24966000,-123.11934000,NORTH-AMERICA,Canada,WNA
Raleigh,Raleigh,GPE,0.26250000,0.25833333,en,1.00000000,4224750-0,4487042,P,35.77210000,-78.63861000,NORTH-AMERICA,United States,ENA
Belfast,Belfast,GPE,0.31818182,0.47727273,en,1.00000000,4080332-6,2655984,P,54.59682000,-5.92541000,EUROPE,United Kingdom,NEU
Aboyne,Aboyne,GPE,-0.20000000,0.50000000,en,1.00000000,4084650-7,2657775,P,57.07546000,-2.78023000,EUROPE,United Kingdom,NEU
Kinross,Kinross,GPE,0.00000000,0.00000000,en,1.00000000,4391199-7,4863563,P,41.46084000,-91.98684000,NORTH-AMERICA,United States,CNA
Perth,Perth,GPE,0.00000000,0.00000000,en,1.00000000,4232458-0,2063523,P,-31.95224000,115.86140000,OCEANIA,Australia,SAU
Highland,Highland,LOC,0.00000000,0.00000000,en,1.00000000,,12503512,A,-4.10171000,138.94367000,ASIA,Indonesia,SEA
the north east,the north east,LOC,0.00000000,0.00000000,en,1.00000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
Cebu,Cebu,LOC,0.13333333,0.31666667,en,1.00000000,4323998-5,1717512,P,10.31672000,123.89071000,ASIA,Philippines,SEA
Philppines,Philppines,GPE,-0.13333333,0.46666667,en,1.00000000,,0,,,,,,
Munster,Munster,GPE,0.00000000,0.10000000,en,1.00000000,4090557-3,2965140,P,51.89797000,-8.47061000,EUROPE,Ireland,NEU
the Pyrenees Mountains,the Pyrenees Mountains,LOC,-0.50000000,0.75000000,en,1.00000000,,3113382,T,42.50000000,2.25000000,EUROPE-AFRICA,France,MED
Mount Elbrus,Mount Elbrus,LOC,-0.15555556,0.28888889,en,1.00000000,,563532,T,43.35236000,42.43765000,ASIA,Russia,WCA
Italys Dolomite,Italys Dolomite,LOC,-0.07142857,0.30000000,en,1.00000000,,0,,,,,,
Colton,Colton,GPE,0.05000000,1.00000000,en,1.00000000,,5338783,P,34.07390000,-117.31365000,NORTH-AMERICA,United States,WNA
southeast road,southeast road,LOC,0.18949495,0.47757576,en,1.00000000,,1735282,P,4.16667000,101.20000000,ASIA,Malaysia,SEA
the Lötschental valley,the Lötschental valley,LOC,0.06250000,0.33333333,en,1.00000000,,0,,,,,,
Canton Valais,Canton Valais,GPE,0.00000000,0.00000000,en,1.00000000,4064466-2,2658205,A,46.22925000,7.45972000,EUROPE,Switzerland,WCE
Loetschental,Loetschental,GPE,0.00000000,0.00000000,en,1.00000000,,2659847,T,46.40957000,7.80200000,EUROPE,Switzerland,WCE
Whistler Blackcomb,Whistler Blackcomb,GPE,-0.20000000,0.50000000,en,1.00000000,,5902385,L,50.09140000,-122.87353000,NORTH-AMERICA,Canada,NWN
Squamish,Squamish,GPE,-0.40000000,0.70000000,en,1.00000000,4446318-2,6296029,S,49.78279000,-123.16185000,NORTH-AMERICA,Canada,WNA
the LaBarge Creek,the LaBarge Creek,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Las Vegas,Las Vegas,GPE,0.24545455,0.44595960,en,1.00000000,4034659-6,5506956,P,36.17497000,-115.13722000,NORTH-AMERICA,United States,WNA
Barcelona,Barcelona,GPE,0.06666667,0.41666667,en,1.00000000,4004503-1,3128760,P,41.38879000,2.15899000,EUROPE-AFRICA,Spain,MED
Western,Western,LOC,0.00000000,0.00000000,en,1.00000000,,7729897,L,25.83945000,43.24219000,ASIA,Saudi Arabia,ARP
Okanogan,Okanogan,GPE,0.20000000,0.50000000,en,1.00000000,,5805553,A,48.54885000,-119.74079000,NORTH-AMERICA,United States,WNA
Kittitas County,Kittitas County,GPE,0.00000000,0.00000000,en,1.00000000,,5799889,A,47.12417000,-120.67972000,NORTH-AMERICA,United States,WNA
Cebu City,Cebu City,GPE,0.10000000,0.45000000,en,1.00000000,4216903-3,1717512,P,10.31672000,123.89071000,ASIA,Philippines,SEA
Anekal,Anekal,GPE,-0.03333333,0.35833333,en,1.00000000,,1278609,P,12.71110000,77.69557000,ASIA,India,SAS
Bommasandra,Bommasandra,GPE,-0.03333333,0.35833333,en,1.00000000,,6695468,P,12.81774000,77.68415000,ASIA,India,SAS
INDORE,INDORE,GPE,0.23888889,0.32777778,en,1.00000000,4368406-3,1269743,P,22.71792000,75.83330000,ASIA,India,SAS
Us,Us,GPE,0.20000000,0.42500000,en,1.00000000,,12217089,L,8.62000000,-170.11000000,PACIFIC,,NPO
Zhangjiakou,Zhangjiakou,GPE,-0.20000000,0.85000000,en,1.00000000,5030818-X,2033196,P,40.78341000,114.87139000,ASIA,China,EAS
Louth,Louth,GPE,0.00000000,0.10000000,en,1.00000000,5175146-X,2964540,P,54.00000000,-6.41667000,EUROPE,Ireland,NEU
Fraser Valley,Fraser Valley,LOC,0.02000000,0.12000000,en,1.00000000,4671933-7,5881791,P,49.05798000,-122.25257000,NORTH-AMERICA,Canada,WNA
Wrightwood,Wrightwood,GPE,-0.25000000,0.37500000,en,1.00000000,,5410682,P,34.36083000,-117.63339000,NORTH-AMERICA,United States,WNA
the San Francisco Bay Area,the San Francisco Bay Area,LOC,0.10000000,0.40000000,en,1.00000000,4051520-5,5391959,P,37.77493000,-122.41942000,NORTH-AMERICA,United States,WNA
Altadena,Altadena,GPE,0.00000000,0.00000000,en,1.00000000,,5323525,P,34.18973000,-118.13118000,NORTH-AMERICA,United States,WNA
CALIFORNIA,CALIFORNIA,GPE,0.00000000,0.00000000,en,1.00000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Alta.,Alta.,GPE,0.00000000,0.00000000,en,1.00000000,,3598119,P,15.47025000,-90.37455000,CENTRAL-AMERICA,Guatemala,SCA
Jasper,Jasper,GPE,0.00000000,0.00000000,en,1.00000000,,4392768,P,37.08423000,-94.51328000,NORTH-AMERICA,United States,CNA
colonizat,colonizat,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Algeria,Algeria,GPE,0.00000000,0.00000000,en,1.00000000,4001179-3,2589581,A,28.00000000,3.00000000,AFRICA,Algeria,SAH
Israel,Israel,GPE,-0.07954545,0.35984848,en,1.00000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
San Bernardino Coun,San Bernardino Coun,GPE,-0.25000000,0.37500000,en,1.00000000,,0,,,,,,
N.J.,N.J.,GPE,-0.05000000,0.20000000,en,1.00000000,,4503800,S,39.92707000,-74.29304000,NORTH-AMERICA,United States,ENA
the Vardousia Mountains inFokida,the Vardousia Mountains inFokida,LOC,-0.03181818,0.25227273,en,1.00000000,,0,,,,,,
Trenton,Trenton,GPE,-0.05000000,0.20000000,en,1.00000000,4120075-5,5105496,P,40.21705000,-74.74294000,NORTH-AMERICA,United States,ENA
Coast,Coast,LOC,-0.20000000,0.65000000,en,1.00000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
Baylor,Baylor,GPE,-0.07500000,0.44166667,en,1.00000000,,4672691,A,33.61649000,-99.21351000,NORTH-AMERICA,United States,CNA
Winnipeg Jets,Winnipeg Jets,GPE,0.50000000,0.50000000,en,1.00000000,,0,,,,,,
the Winnipeg Jets,the Winnipeg Jets,LOC,0.80000000,0.40000000,en,1.00000000,,0,,,,,,
Icelandic,Icelandic,LOC,0.00000000,0.00000000,en,1.00000000,,3163614,U,60.25000000,-7.50000000,EUROPE,,NEU
petro,petro,GPE,0.00000000,0.05000000,en,1.00000000,,3373505,P,13.25072000,-59.64396000,CENTRAL-AMERICA,Barbados,CAR
Snapscope,Snapscope,GPE,0.50000000,0.50000000,en,1.00000000,,0,,,,,,
Queensland,Queensland,GPE,0.28750000,0.47500000,en,1.00000000,4103475-2,11523972,L,-16.56884000,142.48460000,OCEANIA,Australia,NAU
NJ,NJ,GPE,-0.10000000,0.40000000,en,1.00000000,,12213808,L,40.77331000,-73.87989000,NORTH-AMERICA,United States,ENA
Vardousia Mountains,Vardousia Mountains,LOC,-0.13333333,0.23333333,en,1.00000000,,252276,T,38.64171000,22.13944000,EUROPE-AFRICA,Greece,MED
Connacht,Connacht,GPE,0.00000000,0.10000000,en,1.00000000,4755231-1,7521313,A,53.87000000,-8.63333000,EUROPE,Ireland,NEU
Antrim,Antrim,GPE,-0.07777778,0.14444444,en,1.00000000,4079799-5,4984284,A,45.00737000,-85.17579000,NORTH-AMERICA,United States,ENA
Monaghan,Monaghan,GPE,0.00000000,0.10000000,en,1.00000000,4660452-2,2962568,P,54.25000000,-6.96667000,EUROPE,Ireland,NEU
Donegal,Donegal,GPE,0.00000000,0.10000000,en,1.00000000,4085468-1,7668216,S,55.04413000,-8.34128000,EUROPE,Ireland,NEU
Cavan,Cavan,GPE,0.00000000,0.10000000,en,1.00000000,4451192-9,2965535,P,53.99083000,-7.36056000,EUROPE,Ireland,NEU
Bâlea Lac,Bâlea Lac,GPE,0.21428571,0.42857143,en,1.00000000,,11395371,P,45.60584000,24.61564000,EUROPE,Romania,WCE
ISTANBUL,ISTANBUL,GPE,0.17367424,0.63030303,en,1.00000000,4088772-8,745044,P,41.01384000,28.94966000,EUROPE-AFRICA,Turkey,MED
The City and Borough of Juneau Docks,The City and Borough of Juneau Docks,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
the Rocky Mountains,the Rocky Mountains,LOC,-0.26666667,0.53333333,en,1.00000000,,5836950,T,43.35826000,-110.91743000,NORTH-AMERICA,United States,WNA
Derry,Derry,GPE,-0.07777778,0.14444444,en,1.00000000,136708-0,2643736,P,54.99810000,-7.30934000,EUROPE,United Kingdom,NEU
Armagh,Armagh,GPE,-0.07777778,0.14444444,en,1.00000000,4293636-6,2657060,P,54.35000000,-6.66667000,EUROPE,United Kingdom,NEU
Santas,Santas,GPE,0.00000000,0.25000000,en,1.00000000,,2743304,P,41.21017000,-8.57599000,EUROPE-AFRICA,Portugal,MED
the Sea to Sky region,the Sea to Sky region,LOC,0.21818182,0.47727273,en,1.00000000,,0,,,,,,
Terrace,Terrace,GPE,0.00000000,0.80000000,en,1.00000000,,4174969,P,28.03530000,-82.38926000,NORTH-AMERICA,United States,ENA
Phoenix,Phoenix,GPE,0.00000000,0.00000000,en,1.00000000,4119970-4,5308655,P,33.44838000,-112.07404000,CENTRAL-AMERICA,United States,NCA
North Carolina,North Carolina,GPE,0.00000000,0.00000000,en,1.00000000,4042551-4,4563243,P,18.38078000,-65.95739000,CENTRAL-AMERICA,Puerto Rico,CAR
the Great Lakes region,the Great Lakes region,LOC,0.14300144,0.45894661,en,1.00000000,,12212304,L,44.57143000,-84.69022000,NORTH-AMERICA,United States,ENA
Pennsylvania,Pennsylvania,GPE,0.00000000,0.40000000,en,1.00000000,4045103-3,12217723,L,40.64575000,-79.91382000,NORTH-AMERICA,United States,ENA
Erie,Erie,GPE,0.00000000,0.40000000,en,1.00000000,4695406-5,5188843,P,42.12922000,-80.08506000,NORTH-AMERICA,United States,ENA
Buffalo,Buffalo,GPE,0.00000000,0.40000000,en,1.00000000,4080569-4,5110629,P,42.88645000,-78.87837000,NORTH-AMERICA,United States,ENA
Dez Basin,Dez Basin,LOC,0.50000000,0.50000000,en,1.00000000,4728234-4,2978918,P,44.05469000,4.69976000,EUROPE-AFRICA,France,MED
the Gulf Coast,the Gulf Coast,LOC,0.26666667,0.80416667,en,1.00000000,,12212749,L,30.33140000,-89.73221000,NORTH-AMERICA,United States,ENA
Italys South Tyrol,Italys South Tyrol,LOC,-0.02000000,0.27000000,en,1.00000000,,0,,,,,,
